/home/ma/.config/QQ/crash_files//tomb_1709100047404.txt
372112ee000-372112f6000 rwxp 00000000 00:00 0                            [anon:v8]
7965a9ae6000-7965a9b61000 r-xp 00011000 103:03 23076050                  /usr/lib/libgmp.so.10.5.0
7965a9b84000-7965a9b97000 r-xp 00009000 103:03 23089106                  /usr/lib/libhogweed.so.6.8
7965a9bd2000-7965a9c01000 r-xp 0000e000 103:03 23089109                  /usr/lib/libnettle.so.8.8
7965a9c1f000-7965a9c2d000 r-xp 00003000 103:03 23087988                  /usr/lib/libtasn1.so.6.6.3
7965a9c47000-7965a9c88000 r-xp 00012000 103:03 23086113                  /usr/lib/libunistring.so.5.0.0
7965a9df1000-7965a9df5000 r-xp 00002000 103:03 23088212                  /usr/lib/libidn2.so.0.4.0
7965a9e12000-7965a9e1b000 r-xp 00001000 103:03 23088193                  /usr/lib/libbrotlidec.so.1.1.0
7965a9e21000-7965a9e7f000 r-xp 00001000 103:03 23088196                  /usr/lib/libbrotlienc.so.1.1.0
7965a9f07000-7965a9fda000 r-xp 00035000 103:03 23088066                  /usr/lib/libp11-kit.so.0.3.1
7965aa076000-7965aa127000 r-xp 0000c000 103:03 23084461                  /usr/lib/libzstd.so.1.5.5
7965aa140000-7965aa162000 r-xp 00003000 103:03 23084086                  /usr/lib/liblzma.so.5.6.0
7965aa173000-7965aa190000 r-xp 00003000 103:03 23084439                  /usr/lib/liblz4.so.1.9.4
7965aa1a4000-7965aa295000 r-xp 0000f000 103:03 23084983                  /usr/lib/libgcrypt.so.20.4.3
7965aa2e1000-7965aa2e6000 r-xp 00003000 103:03 23083595                  /usr/lib/libcap.so.2.69
7965aa2f2000-7965aa315000 r-xp 00008000 103:03 23076071                  /usr/lib/libblkid.so.1.1.0
7965aa32a000-7965aa32c000 r-xp 00002000 103:03 23105143                  /usr/lib/libXdmcp.so.6.0.0
7965aa331000-7965aa332000 r-xp 00001000 103:03 23105147                  /usr/lib/libXau.so.6.0.0
7965aa33c000-7965aa342000 r-xp 00007000 103:03 23105184                  /usr/lib/libxcb-randr.so.0.1.0
7965aa34e000-7965aa356000 r-xp 00007000 103:03 23109626                  /usr/lib/libwayland-server.so.0.22.0
7965aa368000-7965aa3f3000 r-xp 0000b000 103:03 23126416                  /usr/lib/libpixman-1.so.0.43.2
7965aa414000-7965aa419000 r-xp 00006000 103:03 23105190                  /usr/lib/libxcb-render.so.0.0.0
7965aa41f000-7965aa426000 r-xp 00002000 103:03 23110677                  /usr/lib/libXrender.so.1.3.0
7965aa438000-7965aa4c5000 r-xp 0000e000 103:03 23110421                  /usr/lib/libfreetype.so.6.20.1
7965aa4fe000-7965aa526000 r-xp 00006000 103:03 23110084                  /usr/lib/libpng16.so.16.43.0
7965aa534000-7965aa538000 r-xp 00002000 103:03 23110760                  /usr/lib/libthai.so.0.3.1
7965aa557000-7965aa5d3000 r-xp 0001a000 103:03 23111598                  /usr/lib/libtracker-sparql-3.0.so.0.600.0
7965aa620000-7965aa62a000 r-xp 00007000 103:03 23111152                  /usr/lib/libcloudproviders.so.0.3.5
7965aa690000-7965aa6f6000 r-xp 0005f000 103:03 23111187                  /usr/lib/libepoxy.so.0.0.0
7965aa76b000-7965aa794000 r-xp 00009000 103:03 23110296                  /usr/lib/libgdk_pixbuf-2.0.so.0.4200.10
7965aa7b0000-7965aa7dd000 r-xp 00008000 103:03 23110435                  /usr/lib/libfontconfig.so.1.14.0
7965aa804000-7965aa8ce000 r-xp 0000c000 103:03 23110414                  /usr/lib/libharfbuzz.so.0.60830.0
7965aa930000-7965aa9ad000 r-xp 0002a000 103:03 23111692                  /usr/lib/libgdk-3.so.0.2409.32
7965aaa37000-7965aab6d000 r-xp 00037000 103:03 23089145                  /usr/lib/libgnutls.so.30.37.1
7965aac08000-7965aac09000 r-xp 00001000 103:03 23105202                  /usr/lib/libxcb-shm.so.0.0.0
7965aac11000-7965aac1d000 r-xp 00003000 103:03 23109820                  /usr/lib/libXi.so.6.1.0
7965aac28000-7965aac2a000 r-xp 00004000 103:03 23110692                  /usr/lib/libcairo-gobject.so.2.11800.0
7965aac31000-7965aac36000 r-xp 00002000 103:03 23110717                  /usr/lib/libfribidi.so.0.4.0
7965aac56000-7965aac60000 r-xp 00007000 103:03 23110865                  /usr/lib/libpangoft2-1.0.so.0.5102.0
7965aac6b000-7965aac72000 r-xp 00005000 103:03 23110862                  /usr/lib/libpangocairo-1.0.so.0.5102.0
7965aac7a000-7965aac83000 r-xp 00004000 103:03 23104993                  /usr/lib/libavahi-client.so.3.2.9
7965aac8d000-7965aac93000 r-xp 00004000 103:03 23104996                  /usr/lib/libavahi-common.so.3.5.4
7965aacb0000-7965aad47000 r-xp 00018000 103:03 23085018                  /usr/lib/libsystemd.so.0.38.0
7965aad8e000-7965aad90000 r-xp 00002000 103:03 23102757                  /usr/lib/libplc4.so
7965aad94000-7965aad95000 r-xp 00001000 103:03 23102758                  /usr/lib/libplds4.so
7965aada2000-7965aadd6000 r-xp 0000a000 103:03 23076077                  /usr/lib/libmount.so.1.1.0
7965aadeb000-7965aadf9000 r-xp 00003000 103:03 23084037                  /usr/lib/libz.so.1.3.1
7965aae04000-7965aae06000 r-xp 00002000 103:03 23090779                  /usr/lib/libgmodule-2.0.so.0.7800.4
7965aae0b000-7965aae11000 r-xp 00002000 103:03 23083180                  /usr/lib/libffi.so.8.1.4
7965aae17000-7965aae82000 r-xp 00003000 103:03 23084669                  /usr/lib/libpcre2-8.so.0.11.2
7965aaed3000-7965ab02e000 r-xp 00024000 103:03 23072055                  /usr/lib/libc.so.6
7965ab095000-7965ab0b0000 r-xp 00004000 103:03 23072844                  /usr/lib/libgcc_s.so.1
7965ab0c4000-7965ab144000 r-xp 0000e000 103:03 23072068                  /usr/lib/libm.so.6
7965ab1b3000-7965ab1ca000 r-xp 00011000 103:03 23111032                  /usr/lib/libatspi.so.0.0.1
7965ab20b000-7965ab298000 r-xp 0002f000 103:03 23104296                  /usr/lib/libasound.so.2.0.0
7965ab2d3000-7965ab2f2000 r-xp 00005000 103:03 23111327                  /usr/lib/libxkbcommon.so.0.0.0
7965ab323000-7965ab337000 r-xp 0000c000 103:03 23105232                  /usr/lib/libxcb.so.1.1.0
7965ab346000-7965ab362000 r-xp 00004000 103:03 23087895                  /usr/lib/libexpat.so.1.9.0
7965ab372000-7965ab37e000 r-xp 00005000 103:03 23109507                  /usr/lib/libdrm.so.2.4.0
7965ab3a0000-7965ab42b000 r-xp 0001c000 103:03 23108614                  /usr/lib/libX11.so.6.4.0
7965ab4db000-7965ab5c0000 r-xp 00014000 103:03 23110698                  /usr/lib/libcairo.so.2.11800.0
7965ab684000-7965aba19000 r-xp 00084000 103:03 23111695                  /usr/lib/libgtk-3.so.0.2409.32
7965abde5000-7965abdec000 r-xp 00003000 103:03 23109674                  /usr/lib/libgbm.so.1.0.0
7965abdf6000-7965abdfd000 r-xp 00002000 103:03 23111342                  /usr/lib/libXrandr.so.2.2.0
7965abe05000-7965abe10000 r-xp 00004000 103:03 23109429                  /usr/lib/libXext.so.6.4.0
7965abe24000-7965abe5b000 r-xp 0000e000 103:03 23110857                  /usr/lib/libpango-1.0.so.0.5102.0
7965abe9a000-7965abef0000 r-xp 0001f000 103:03 23111182                  /usr/lib/libcups.so.2
7965abf25000-7965abf3c000 r-xp 0000c000 103:03 23111029                  /usr/lib/libatk-bridge-2.0.so.0.0.0
7965abf62000-7965abf90000 r-xp 0000e000 103:03 23092217                  /usr/lib/libdbus-1.so.3.32.4
7965abfbc000-7965ac09e000 r-xp 00017000 103:03 23102777                  /usr/lib/libnss3.so
7965ac114000-7965ac224000 r-xp 00039000 103:03 23090771                  /usr/lib/libgio-2.0.so.0.7800.4
7965ac2d2000-7965ac370000 r-xp 0001e000 103:03 23090775                  /usr/lib/libglib-2.0.so.0.7800.4
7965ac483000-7965ac688000 r-xp 00082000 00:44 1279                       /tmp/.mount_linuxqZtgrfZ/libffmpeg.so
7965acb51000-7965acb54000 r-xp 00002000 103:03 23109533                  /usr/lib/libXfixes.so.3.1.0
7965acb58000-7965acb59000 r-xp 00001000 103:03 23109538                  /usr/lib/libXdamage.so.1.1.0
7965acb5d000-7965acb5e000 r-xp 00001000 103:03 23111191                  /usr/lib/libXcomposite.so.1.0.0
7965acb6e000-7965acb7c000 r-xp 0000b000 103:03 23111026                  /usr/lib/libatk-1.0.so.0.25010.1
7965acb99000-7965acbbc000 r-xp 0000c000 103:03 23102756                  /usr/lib/libnspr4.so
7965acbd6000-7965acbec000 r-xp 00009000 103:03 23102785                  /usr/lib/libsmime3.so
7965acbfc000-7965acc0d000 r-xp 00007000 103:03 23102784                  /usr/lib/libnssutil3.so
7965acc32000-7965acc67000 r-xp 0000f000 103:03 23090783                  /usr/lib/libgobject-2.0.so.0.7800.4
7965acc86000-7965acc87000 r-xp 00001000 103:03 23072094                  /usr/lib/libpthread.so.0
7965acc8b000-7965acc8c000 r-xp 00001000 103:03 23072062                  /usr/lib/libdl.so.2
7965accb6000-7965accdd000 r-xp 00001000 103:03 23072041                  /usr/lib/ld-linux-x86-64.so.2
7ffc9e957000-7ffc9e959000 r-xp 00000000 00:00 0                          [vdso]
ffffffffff600000-ffffffffff601000 --xp 00000000 00:00 0                  [vsyscall]
