2024-01-25 05:33:53 ERROR - failed to create the pid file
2024-01-25 05:33:53 INFO - [clash]: level=info msg="Start initial compatible provider 故障转移"
2024-01-25 05:33:53 INFO - [clash]: level=info msg="Start initial compatible provider 自动选择(已剔除IPLC)"
2024-01-25 05:33:53 INFO - [clash]: level=info msg="Start initial compatible provider TaiShan Net"
2024-01-25 05:33:53 INFO - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2024-01-25 05:33:53 INFO - [clash]: level=info msg="inbound mixed://127.0.0.1:7890 create success."
2024-01-25 05:37:20 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59642 --> wpad:80 using GLOBAL"
2024-01-25 05:37:21 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59650 --> wiki.hyprland.org:443 using GLOBAL"
2024-01-25 05:37:21 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59690 --> token.services.mozilla.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59664 --> darkreader.org:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59676 --> firefox.settings.services.mozilla.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59674 --> hcfy.app:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59722 --> api.accounts.firefox.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59720 --> incoming.telemetry.mozilla.org:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59718 --> profile.accounts.firefox.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59750 --> content-signature-2.cdn.mozilla.net:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59734 --> detectportal.firefox.com:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59692 --> api.accounts.firefox.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59754 --> push.services.mozilla.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59768 --> contile.services.mozilla.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59732 --> wiki.hyprland.org:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59794 --> safebrowsing.googleapis.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59784 --> wiki.hyprland.org:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59790 --> www.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59832 --> r3.o.lencr.org:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59822 --> www.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59848 --> www.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59864 --> www.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59866 --> www.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59868 --> www.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59872 --> ocsp.digicert.com:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59890 --> lh3.googleusercontent.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59900 --> accounts.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59876 --> www.google.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59816 --> www.gstatic.com:443 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59904 --> detectportal.firefox.com:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59906 --> detectportal.firefox.com:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59908 --> ocsp.digicert.com:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59914 --> ocsp.digicert.com:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59916 --> ocsp.digicert.com:80 using GLOBAL"
2024-01-25 05:37:22 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59930 --> r3.o.lencr.org:80 using GLOBAL"
2024-01-25 05:37:23 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59946 --> r3.o.lencr.org:80 using GLOBAL"
2024-01-25 05:37:23 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59952 --> r3.o.lencr.org:80 using GLOBAL"
2024-01-25 05:37:23 INFO - [clash]: level=info msg="[TCP] 127.0.0.1:59966 --> ocsp.pki.goog:80 using GLOBAL"
